[2026-03-03 19:12:28] Task: Backtest User Portfolios | Multiprocessing: True | Time: 0.08s
[2026-03-03 19:12:44] Task: Backtest User Portfolios | Multiprocessing: True | Time: 0.09s
[2026-03-03 21:09:52] Task: Backtest User Portfolios | Multiprocessing: True | Time: 10.72s
[2026-03-03 21:38:12] Task: Backtest User Portfolios | Multiprocessing: True | Time: 0.07s
[2026-03-03 21:44:07] Task: Backtest User Portfolios | Multiprocessing: True | Time: 5.95s
[2026-03-03 21:44:41] Task: Backtest User Portfolios | Multiprocessing: True | Time: 5.25s
[2026-03-03 21:45:41] Task: Backtest User Portfolios | Multiprocessing: True | Time: 6.19s
[2026-03-03 21:47:22] Task: Backtest User Portfolios | Multiprocessing: True | Time: 5.59s
[2026-03-03 23:41:48] Task: Backtest User Portfolios | Multiprocessing: True | Time: 309.57s
[2026-03-06 21:22:39] Task: Backtest User Portfolios | Multiprocessing: True | Time: 64.20s
[2026-03-06 22:40:58] Task: Backtest User Portfolios | Multiprocessing: True | Time: 58.41s
[2026-03-06 22:44:28] Task: Backtest User Portfolios | Multiprocessing: True | Time: 14.78s
[2026-03-06 23:01:27] Task: Backtest User Portfolios | Multiprocessing: True | Time: 61.84s
[2026-03-06 23:34:00] Task: Backtest User Portfolios | Multiprocessing: False | Time: 0.11s
[2026-03-06 23:34:02] Task: Backtest User Portfolios | Multiprocessing: False | Time: 0.26s
[2026-03-07 16:35:41] Task: Backtest User Portfolios | Multiprocessing: True | Time: 39.93s
[2026-03-14 19:06:37] Task: Lightweight Metrics Analysis | Multiprocessing: False | Time: 15.94s
[2026-03-14 19:46:33] Task: Lightweight Metrics Analysis | Multiprocessing: False | Time: 1.90s
[2026-03-14 19:47:31] Task: Backtest User Portfolios | Multiprocessing: True | Time: 35.11s
